topic_id,top_terms,doc_weight_sum,term_freq,mean_document_weight,1970s,1980s,1990s,2000s,2010s,2020s,topic_year_dom
T19,baby rumour rumour rumour know ve time let love ai,14.933689287750331,0.054607268980383504,0.03246454192989196,0.01362612612612668,0.050337528381385624,0.02644021739130239,0.02798853977821741,0.03798423235093616,0.027031249999896083,1980s
T20,let yeah lord lord let want time car know getaway,13.766348641359132,0.035935320089619596,0.029926844872519797,0.01362612612612668,0.03187145921573268,0.05397644927536128,0.019750115037154098,0.04851862809378203,0.01453125000000292,1990s
T21,dance night wan imagine somebody ve hurts wan dance got,17.019689563171216,0.03740496300115844,0.03699932513732866,0.01362612612612668,0.0719037112145849,0.026440217391290904,0.027609979844362167,0.0350144830050402,0.043697916666667024,1980s
T22,gon baby did world gon alright alright know hey chance,8.385887650650167,0.010994832811806207,0.018230190544891632,0.033896396396397785,0.01158627082049889,0.015570652173913697,0.013063047221749632,0.024878698443718154,0.02703124999999714,1970s
T23,remember magic hair wind stairs wind hair mister magic mister nan,9.739587033371235,0.03235330344483325,0.021173015289937428,0.01362612612612668,0.014158287281404332,0.02644021739130488,0.02694302560576019,0.014512514839874466,0.027031249999999292,2020s
T24,need calm need calm calm need stop need stop step step gown glaad,6.585144765337338,0.004966607067702988,0.014315532098559404,0.01362612612612668,0.009014254359594263,0.015570652173913697,0.015458898264269173,0.0015545410345751557,0.047864583333333405,2020s
T25,lover life lover life wan life lover time lover lover love sentence,9.8371710562081,0.014309643355957526,0.021385154470017567,0.01994989532739118,0.0345512468329391,0.02644021739130388,0.026134849003289603,0.0015545410345751557,0.014531250000000565,1980s
T26,baby thinking want love tonight baby tonight look got know,9.0935819312518,0.028240230379082708,0.019768656372286485,0.022635135135133478,0.030047359085048755,0.02644021739130279,0.01668505331397988,0.013913954403688903,0.014531250000000565,1980s
T27,boy talking love love boy know boy talking tell need talking love,7.811747889210645,0.007825386011088018,0.01698206062871876,0.027139639639640136,0.026893648282719236,0.015570652173913697,0.015322407951328165,0.008683748132267743,0.014531250000000565,1970s
T28,shoop shoo love shoop shoop doop lights baby shoo doop know,15.998971770923019,0.037924158129473355,0.03478037341504998,0.03614864864864804,0.04326874121033534,0.015570652173913697,0.038514152999921385,0.02540082601384749,0.04369791666666324,2020s
T29,come got step baby moving bit brick feel got moving,10.93578066386547,0.024022777629665915,0.023773436225794458,0.01362612612612668,0.03791529671230235,0.015570652173913697,0.02967828047594141,0.012434855326067437,0.014531250000000565,1980s
T30,amy amy amy know let say ai want love say ai,12.650558850352096,0.029077251012359497,0.027501214892069723,0.01362612612613136,0.005927834606507253,0.015570652173913697,0.025539458587538883,0.06296233703864203,0.027031249999998962,2010s
T31,love bring bring love love bring thinking summer bring bring love love feel,11.050477997450294,0.017944954505784698,0.02402277825532668,0.0406531531531523,0.019616665000570726,0.037309782608694594,0.02165783583735517,0.017337111021341448,0.027031249999993817,1970s
T32,say know love woman ai make girlfriend whoa way,14.857609602208907,0.05911332283301606,0.03229915130914974,0.01362612612612668,0.01913544570054178,0.01557065217394601,0.025688974577727983,0.08107767504849665,0.014531250000000565,2010s
T33,lows highs ve highs highs lows lows tell ooh hello fall,12.668061423119743,0.03399318667132079,0.02753926396330374,0.03164414414414449,0.015060897714318174,0.015570652173913697,0.022747334452990053,0.046977421587385576,0.03953124999999778,2010s
T34,times thing meetings lie dies colors look know lie lie,8.379811200499866,0.004435107376284296,0.01821698087065185,0.022635135135135893,0.012100674112679973,0.02281702898518988,0.019718377916029085,0.0052998593866348245,0.04369791666666649,2020s
T35,love say day ve save save day got love save feel,16.467570344823248,0.04384346821020258,0.03579906596700699,0.052347401969902466,0.09842303055724091,0.015570652173916738,0.022560506058518715,0.016779173989073047,0.014531250000000565,1980s
T36,forget time got idea got idea friends yeah arichan yeah forget,10.434970612727371,0.020738749358243862,0.02268471872332033,0.01362612612612668,0.005927834606507253,0.015570652173913697,0.03018515789150183,0.03496885365227757,0.014531250000000565,2010s
T37,belong belong belong wan talk way miss ve rock make,7.6602268264092395,0.01415101185758757,0.016652667013933097,0.01362612612612668,0.01838655321522238,0.015570652173913752,0.017969542683261563,0.015374558665222292,0.014531250000000565,1980s
T38,valerie gon valerie valerie lay ve come did way rolling,11.383341297694034,0.029486512969492725,0.024746394125421768,0.01362612612612668,0.005927834606507253,0.04817934782608462,0.025527109360800875,0.03751115465895023,0.014531250000000565,1990s
T39,giving know living ve wan ai wan living maroon heart,9.14432387571895,0.01602177038556717,0.019878964947215073,0.03614864864864311,0.021599232482454263,0.015570652173913697,0.018186778184091805,0.015543584580888298,0.023011626504948233,1970s
