artist,song,doc_str,term_count
ADELE,Hometown Glory,tutting heel strutting feet is anything do dear is anyone call thank please madame ai lost wandering hometown memories are hometown ooh people ve met are wonders world are wonders world are wonders world are wonders like city air is love see everybody skirts shorts shades like city worlds collide get people government everybody taking sides shows ai gon stand shit shows are shows ai gon take shows ai gon stand shit shows are hometown memories are hometown ooh people ve met yeah outro nan doodadadadadadadadah yeah doodadadadadadadadah yeah yeah are wonders world are wonders world are wonders world are wonders world world,99
ADELE,I Drink Wine,re love world world wants bring puttin ideas heads hearts was child thing blow mind soaking fun soak wine say play work find balance sacrifice do know anybody s believe m tryin tryin keep climbin climbin climbin climb feels re none wiser hope learn get stop tryin be somebody love everybody wants want am obsessin things control am seekin approval people do know times hope find cling need substance life somethin feels believe ve cried ve cried ve cried tides high tides tides want fight fire fire hope learn get stop tryin be somebody want love love everybody wants want listen know go give get get brunt re ve got hope time hope time find peace mind find road travelled is road best left hope learn get stop tryin be somebody want love love yeah everybody wants want believe m tryin tryin keep climbin climbin climbin climb feels re none wiser outro nan regret have wish was time period life put s thing have talk period time was fun,153
ADELE,I Found a Boy,fall time time ai charm creep closer fool fire fall pride bomb explosion ticking call re wiser disguised greed m child longs knees found boy love than did river cried lay look want do need thought crumble knees sight crawling whisper will leave man swear time stand stand found boy love than did river cried lay look want do need ai yours taking be mistaken look eyes settle ignore right found boy loves did river cried,71
ADELE,I Miss You,treat wan teach things knew baby bring floor knees let fall gravity kiss life see body standing baby do let lights go baby do let lights go baby do let lights go lights go lights go lights go lights go down miss lights go illuminates doubts pull hold do let go baby give miss lights go illuminates doubts pull hold do let go baby give love way body moves towards room brushing groove one has do baby bring heart bring soul be ego wan step setting tone baby do let lights go baby do let lights go baby do let lights go lights go lights go lights go lights go down miss lights go illuminates doubts pull hold do let go baby give miss lights go illuminates doubts pull hold do let go baby give play dark are living worlds makes baby makes baby harder baby harder baby miss lights go illuminates doubts pull hold do let go baby give miss lights go illuminates doubts pull hold do let go baby give outro nan miss miss miss miss,199
ADELE,Lay Me Down,hold let be do say love open heart m gon do standing words do come re front help baby turn lights lay morning lay night lay fall lay won92t lay baby lay someone believe break rules tell read mind be lies lie let be do say love opened heart m gon do standing words do come re front help baby turn lights lay morning lay night lay fall lay wo lay baby lay someone believe lay lay lay lay words do come re front help baby turn lights lay morning lay night lay fall lay wo,132
ADELE,Love Is A Game,s learning grow am heart speaks puzzle codes ve been trying life solve god knows ve cried take defeat time be ending see love is game fools play ai fooling fooling thing cruel thing selfinflict pain love is game fools play ai fooling fooling thing cruel thing selfinflict pain fall lies tell lies tell dream sell dream sell heartache s m good doing care do care anything be fair love is game fools play ai fooling fooling thing cruel thing selfinflict pain love is game fools play ai fooling fooling thing cruel thing selfinflict pain amount love keep satisfied satisfied keep ca keep keep keep changing mind change mind change mind feelings flood heights compromise love is game fools play ai fooling fooling thing cruel thing selfinflict pain love is game fools play ai fooling fooling thing cruel thing selfinflict pain outro nan know do love loved m fool,190
ADELE,Love in the Dark,is have been stay time do love please stay are do come closer do try change mind m being cruel be kind love dark feels re oceans is space baby re defeated ahyeahyeahyeahyeahyeahyeahyeah everything changed have given something live underestimate are doubt do want carry everything is ignore fight please do fall face breaking heart m trying be brave stop asking stay love dark feels re oceans is space baby re defeated ahyeahyeahyeahyeahyeahyeahyeah everything changed re ones do regret thing word ve said know mean is world are life want live survive s love dark feels re oceans is space baby re defeated,89
ADELE,Lovesong,m make feel am m make feel am m make feel am love stay love words say love love m make feel am m make feel am love stay love words say love love love stay love words say love love outro nan love,67
ADELE,Make You Feel My Love,offer embrace make feel love evening shadows stars appear is one dry tears hold years make feel love know have made mind do wrong ve known moment met doubt mind belong go go go crawling avenue know s nothing do make feel love instrumental break nan storms are raging rollin sea highway regret winds change are blowing ai seen nothing make make dreams come nothing do go ends earth re one do hate idea being m one ve got stop holdin way do honey m one have been have been s wilderness eh eh eh want be keeper eh eh eh are re gon let let do pretend do want re gon let let do pretend do want woah are waiting seem make door are hiding ai life live re run have asked thing want is love re gon let let do pretend do want re gon let let do pretend do want woah s wilderness eh eh eh want be keeper eh eh eh are ooh re gon let let do pretend do want re gon let let do pretend do want woah say ai say ai say ai say ai say ai say ai say ai say ai woah say ai say ai say ai say ai say ai say ai say ai say ai,237
ADELE,Melt My Heart to Stone,find repeating tune m excusing intentions give pretendings forgive time knowing melt heart stone hear words made say name be tidy head m one love m one love time turn leave feel heart begin burst bleed try link head fall knees tear way forgive knowing ve burnt heart stone hear words made say name be tidy head m one love m one love do steal hand m standing ground build leave hear words made say name be,61
